country,year,democracy,monarchy
Lithuania,2011,democracy,republic
Lithuania,2012,democracy,republic
Ukraine,2000,democracy,republic
Ukraine,2001,democracy,republic
Ukraine,2002,democracy,republic
Ukraine,2003,democracy,republic
Ukraine,2004,democracy,republic
Ukraine,2005,democracy,republic
Ukraine,2006,democracy,republic
Ukraine,2007,democracy,republic
Ukraine,2008,democracy,republic
Ukraine,2009,democracy,republic
Ukraine,2010,democracy,republic
Ukraine,2011,democracy,republic
Ukraine,2012,democracy,republic
Belarus,2000,autocracy,N/A
Belarus,2001,autocracy,N/A
Belarus,2002,autocracy,N/A
Belarus,2003,autocracy,N/A
Belarus,2004,autocracy,N/A
Belarus,2005,autocracy,N/A
Belarus,2006,autocracy,N/A
Belarus,2007,autocracy,N/A
Belarus,2008,autocracy,N/A
Belarus,2009,autocracy,N/A
Belarus,2010,autocracy,N/A
Belarus,2011,autocracy,N/A
Belarus,2012,autocracy,N/A
Armenia,2000,autocracy,N/A
Armenia,2001,autocracy,N/A
Armenia,2002,autocracy,N/A
Armenia,2003,autocracy,N/A
Armenia,2004,autocracy,N/A
Armenia,2005,autocracy,N/A
Armenia,2006,autocracy,N/A
Armenia,2007,autocracy,N/A
Armenia,2008,autocracy,N/A
Armenia,2009,autocracy,N/A
Armenia,2010,autocracy,N/A
Armenia,2011,autocracy,N/A
Armenia,2012,autocracy,N/A
Georgia,2000,autocracy,N/A
Georgia,2001,autocracy,N/A
Georgia,2002,autocracy,N/A
Georgia,2003,autocracy,N/A
Georgia,2004,democracy,republic
Georgia,2005,democracy,republic
Georgia,2006,democracy,republic
Georgia,2007,democracy,republic
Georgia,2008,democracy,republic
Georgia,2009,democracy,republic
Georgia,2010,democracy,republic
Georgia,2011,democracy,republic
Georgia,2012,democracy,republic
Azerbaijan,2000,autocracy,N/A
Azerbaijan,2001,autocracy,N/A
Azerbaijan,2002,autocracy,N/A
Azerbaijan,2003,autocracy,N/A
Azerbaijan,2004,autocracy,N/A
Azerbaijan,2005,autocracy,N/A
Azerbaijan,2006,autocracy,N/A
Azerbaijan,2007,autocracy,N/A
Azerbaijan,2008,autocracy,N/A
Azerbaijan,2009,autocracy,N/A
Azerbaijan,2010,autocracy,N/A
Azerbaijan,2011,autocracy,N/A
Azerbaijan,2012,autocracy,N/A
Finland,2000,democracy,republic
Finland,2001,democracy,republic
Finland,2002,democracy,republic
Finland,2003,democracy,republic
Finland,2004,democracy,republic
Finland,2005,democracy,republic
Finland,2006,democracy,republic
Finland,2007,democracy,republic
Finland,2008,democracy,republic
Finland,2009,democracy,republic
Finland,2010,democracy,republic
Finland,2011,democracy,republic
Finland,2012,democracy,republic
Sweden,2000,democracy,monarchy
Sweden,2001,democracy,monarchy
Sweden,2002,democracy,monarchy
Sweden,2003,democracy,monarchy
Sweden,2004,democracy,monarchy
Sweden,2005,democracy,monarchy
Sweden,2006,democracy,monarchy
Sweden,2007,democracy,monarchy
Sweden,2008,democracy,monarchy
Sweden,2009,democracy,monarchy
Sweden,2010,democracy,monarchy
Sweden,2011,democracy,monarchy
Sweden,2012,democracy,monarchy
Norway,2000,democracy,monarchy
Norway,2001,democracy,monarchy
Norway,2002,democracy,monarchy
Norway,2003,democracy,monarchy
Norway,2004,democracy,monarchy
Norway,2005,democracy,monarchy
Norway,2006,democracy,monarchy
Norway,2007,democracy,monarchy
Norway,2008,democracy,monarchy
Norway,2009,democracy,monarchy
Norway,2010,democracy,monarchy
Norway,2011,democracy,monarchy
Norway,2012,democracy,monarchy
Denmark,2000,democracy,monarchy
Denmark,2001,democracy,monarchy
Denmark,2002,democracy,monarchy
Denmark,2003,democracy,monarchy
Denmark,2004,democracy,monarchy
Denmark,2005,democracy,monarchy
Denmark,2006,democracy,monarchy
Denmark,2007,democracy,monarchy
Denmark,2008,democracy,monarchy
Denmark,2009,democracy,monarchy
Denmark,2010,democracy,monarchy
Denmark,2011,democracy,monarchy
Denmark,2012,democracy,monarchy
Iceland,2000,democracy,republic
Iceland,2001,democracy,republic
Iceland,2002,democracy,republic
Iceland,2003,democracy,republic
Iceland,2004,democracy,republic
Iceland,2005,democracy,republic
Iceland,2006,democracy,republic
Iceland,2007,democracy,republic
Iceland,2008,democracy,republic
Iceland,2009,democracy,republic
Iceland,2010,democracy,republic
Iceland,2011,democracy,republic
Iceland,2012,democracy,republic
Mali,2000,democracy,republic
Mali,2001,democracy,republic
Mali,2002,democracy,republic
Mali,2003,democracy,republic
Mali,2004,democracy,republic
Mali,2005,democracy,republic
Mali,2006,democracy,republic
Mali,2007,democracy,republic
Mali,2008,democracy,republic
Mali,2009,democracy,republic
Mali,2010,democracy,republic
Mali,2011,democracy,republic
Mali,2012,autocracy,N/A
Senegal,2000,democracy,republic
Senegal,2001,democracy,republic
Senegal,2002,democracy,republic
Senegal,2003,democracy,republic
Senegal,2004,democracy,republic
Senegal,2005,democracy,republic
Senegal,2006,democracy,republic
Senegal,2007,democracy,republic
Senegal,2008,democracy,republic
Senegal,2009,democracy,republic
Senegal,2010,democracy,republic
Senegal,2011,democracy,republic
Senegal,2012,democracy,republic
Benin,2000,democracy,republic
Benin,2001,democracy,republic
Benin,2002,democracy,republic
Benin,2003,democracy,republic
Benin,2004,democracy,republic
Benin,2005,democracy,republic
Benin,2006,democracy,republic
Benin,2007,democracy,republic
Benin,2008,democracy,republic
Benin,2009,democracy,republic
Benin,2010,democracy,republic
Benin,2011,democracy,republic
Benin,2012,democracy,republic
Mauritania,2000,autocracy,N/A
Mauritania,2001,autocracy,N/A
Mauritania,2002,autocracy,N/A
Mauritania,2003,autocracy,N/A
Mauritania,2004,autocracy,N/A
Mauritania,2005,autocracy,N/A
Mauritania,2006,autocracy,N/A
Mauritania,2007,autocracy,N/A
Mauritania,2008,autocracy,N/A
Mauritania,2009,autocracy,N/A
Mauritania,2010,autocracy,N/A
Mauritania,2011,autocracy,N/A
Mauritania,2012,autocracy,N/A
Niger,2000,democracy,republic
Niger,2001,democracy,republic
Niger,2002,democracy,republic
Niger,2003,democracy,republic
Niger,2004,democracy,republic
Niger,2005,democracy,republic
Niger,2006,democracy,republic
Niger,2007,democracy,republic
Niger,2008,democracy,republic
Niger,2009,autocracy,N/A
Niger,2010,autocracy,N/A
Niger,2011,democracy,republic
Niger,2012,democracy,republic
Guinea,2000,autocracy,N/A
Guinea,2001,autocracy,N/A
Guinea,2002,autocracy,N/A
Guinea,2003,autocracy,N/A
Guinea,2004,autocracy,N/A
Guinea,2005,autocracy,N/A
Guinea,2006,autocracy,N/A
Guinea,2007,autocracy,N/A
Guinea,2008,autocracy,N/A
Guinea,2009,autocracy,N/A
Guinea,2010,autocracy,N/A
Guinea,2011,autocracy,N/A
Guinea,2012,autocracy,N/A
Liberia,2000,autocracy,N/A
Liberia,2001,autocracy,N/A
Liberia,2002,autocracy,N/A
Liberia,2003,autocracy,N/A
Liberia,2004,autocracy,N/A
Liberia,2005,autocracy,N/A
Liberia,2006,democracy,republic
